file,label
vid_00097_00022.mov,1
vid_00097_00023.mov,1
vid_00097_00024.mov,1
vid_00097_00025.mov,0
vid_00097_00026.mov,1
vid_00097_00027.mov,1
vid_00097_00028.mov,0
vid_00097_00029.mov,0
vid_00097_00030.mov,1
vid_00097_00031.mov,1
vid_00097_00032.mov,1
vid_00097_00033.mov,1
vid_00097_00034.mov,1
vid_00097_00035.mov,1
vid_00097_00036.mov,1
vid_00097_00037.mov,1
vid_00097_00038.mov,1
vid_00097_00039.mov,0
vid_00097_00040.mov,1
vid_00097_00041.mov,1
vid_00097_00042.mov,0
vid_00097_00043.mov,0
vid_00097_00044.mov,1
vid_00097_00045.mov,1
vid_00097_00046.mov,1
vid_00097_00047.mov,1
vid_00097_00048.mov,1
vid_00097_00049.mov,1
vid_00097_00050.mov,0
vid_00097_00051.mov,1
vid_00097_00052.mov,1
vid_00097_00053.mov,1
vid_00097_00054.mov,1
vid_00097_00055.mov,1
vid_00097_00056.mov,1
vid_00097_00057.mov,1
vid_00097_00058.mov,1
vid_00097_00059.mov,1
vid_00098_00001.mov,1
vid_00098_00002.mov,1
vid_00098_00003.mov,1
vid_00098_00004.mov,0
vid_00098_00005.mov,0
vid_00098_00006.mov,1
vid_00098_00007.mov,1
vid_00098_00008.mov,0
vid_00098_00009.mov,1
vid_00098_00010.mov,1
vid_00098_00011.mov,1
vid_00098_00012.mov,1
vid_00098_00013.mov,1
vid_00098_00014.mov,1
vid_00098_00015.mov,1
vid_00098_00016.mov,1
vid_00098_00017.mov,0
vid_00098_00018.mov,1
vid_00098_00019.mov,1
vid_00098_00020.mov,1
vid_00098_00021.mov,0
vid_00098_00022.mov,1
vid_00098_00023.mov,1
vid_00098_00024.mov,1
vid_00098_00025.mov,0
vid_00098_00026.mov,1
vid_00098_00027.mov,1
vid_00098_00028.mov,0
vid_00098_00029.mov,1
vid_00098_00030.mov,1
vid_00098_00031.mov,0
vid_00098_00032.mov,1
vid_00098_00033.mov,1
vid_00098_00034.mov,1
vid_00098_00035.mov,1
vid_00098_00036.mov,1
vid_00098_00037.mov,1
vid_00098_00038.mov,1
vid_00098_00039.mov,1
vid_00098_00040.mov,0
vid_00098_00041.mov,1
vid_00098_00042.mov,1
vid_00098_00043.mov,1
vid_00098_00044.mov,1
vid_00098_00045.mov,1
vid_00098_00046.mov,0
vid_00098_00047.mov,0
vid_00098_00048.mov,1
vid_00098_00049.mov,1
vid_00098_00050.mov,1
vid_00098_00051.mov,1
vid_00098_00052.mov,1
vid_00098_00053.mov,1
vid_00098_00054.mov,0
vid_00098_00055.mov,1
vid_00098_00056.mov,1
vid_00098_00057.mov,1
vid_00098_00058.mov,1
vid_00099_00001.mp4,0
vid_00099_00002.mp4,0
vid_00099_00003.mp4,0
vid_00099_00004.mp4,1
vid_00099_00005.mp4,1
vid_00099_00006.mp4,1
vid_00100_00001.MOV,0
vid_00100_00002.MOV,1
vid_00101_00001.mov,0
vid_00101_00002.mov,1
vid_00101_00003.mov,1
vid_00101_00004.mov,1
vid_00101_00005.mov,0
vid_00101_00006.mov,0
vid_00101_00007.mov,0
vid_00101_00008.mov,0
vid_00101_00009.mov,1
vid_00101_00010.mov,1
vid_00101_00011.mov,1
vid_00101_00012.mov,0
vid_00101_00013.mov,0
vid_00101_00014.mov,1
vid_00101_00015.mov,1
vid_00102_00001.mov,1
vid_00102_00002.mov,1
vid_00102_00003.mov,0
vid_00102_00004.mov,1
vid_00102_00005.mov,1
vid_00102_00006.mov,1
vid_00102_00007.mov,1
vid_00102_00008.mov,1
vid_00102_00009.mov,1
vid_00102_00010.mov,1
vid_00103_00001.mp4,1
vid_00103_00002.mp4,1
vid_00103_00003.mp4,1
vid_00103_00004.mp4,1
vid_00103_00005.mp4,0
vid_00103_00006.mp4,1
vid_00103_00007.mp4,1
vid_00103_00008.mp4,1
vid_00103_00009.mp4,1
vid_00103_00010.mp4,1
vid_00103_00011.mp4,1
vid_00104_00001.mov,0
vid_00104_00002.mov,0
vid_00104_00003.mov,1
vid_00104_00004.mov,0
vid_00104_00005.mov,0
vid_00104_00006.mov,1
vid_00104_00007.mov,1
vid_00104_00008.mov,1
vid_00104_00009.mov,0
vid_00104_00010.mov,0
vid_00105_00001.mov,1
vid_00105_00002.mov,1
vid_00105_00003.mov,1
vid_00105_00004.mov,0
vid_00105_00005.mov,1
vid_00105_00006.mov,1
vid_00105_00007.mov,1
vid_00105_00008.mov,1
vid_00105_00009.mov,1
vid_00105_00010.mov,1
vid_00105_00011.mov,1
vid_00105_00012.mov,1
vid_00105_00013.mov,1
vid_00105_00014.mov,1
vid_00105_00015.mov,1
vid_00105_00016.mov,1
vid_00105_00017.mov,0
vid_00105_00018.mov,0
vid_00105_00019.mov,0
vid_00105_00020.mov,1
vid_00105_00021.mov,1
vid_00105_00022.mov,0
vid_00105_00023.mov,0
vid_00105_00024.mov,0
vid_00105_00025.mov,0
vid_00105_00026.mov,1
vid_00105_00027.mov,1
vid_00106_00001.mp4,0
vid_00106_00002.mp4,0
vid_00106_00003.mp4,1
vid_00107_00001.mp4,0
vid_00107_00002.mp4,1
vid_00107_00003.mp4,1
vid_00107_00004.mp4,0
vid_00107_00005.mp4,0
vid_00107_00006.mp4,0
vid_00107_00007.mp4,0
vid_00107_00008.mp4,1
vid_00107_00009.mp4,1
vid_00107_00010.mp4,0
vid_00108_00001.mp4,0
vid_00108_00002.mp4,0
vid_00108_00003.mp4,1
vid_00108_00004.mp4,1
vid_00108_00005.mp4,0
vid_00108_00006.mp4,1
vid_00108_00007.mp4,1
vid_00108_00008.mp4,1
vid_00108_00009.mp4,0
vid_00108_00010.mp4,1
vid_00108_00011.mp4,1
vid_00108_00012.mp4,0
vid_00108_00013.mp4,1
vid_00110_00001.mp4,1
vid_00110_00002.mp4,1
vid_00110_00003.mp4,0
vid_00110_00004.mp4,1
vid_00110_00005.mp4,1
vid_00110_00006.mp4,0
vid_00110_00007.mp4,1
vid_00110_00008.mp4,1
vid_00110_00009.mp4,0
vid_00110_00010.mp4,0
vid_00110_00011.mp4,0
vid_00110_00012.mp4,0
vid_00110_00013.mp4,0
vid_00110_00014.mp4,1
vid_00110_00015.mp4,1
vid_00110_00016.mp4,0
vid_00110_00017.mp4,0
vid_00110_00018.mp4,0
vid_00110_00019.mp4,1
vid_00110_00020.mp4,1
vid_00110_00021.mp4,0
vid_00110_00022.mp4,0
vid_00110_00023.mp4,0
vid_00110_00024.mp4,1
vid_00110_00025.mp4,0
vid_00110_00026.mp4,0
vid_00110_00027.mp4,0
vid_00110_00028.mp4,0
vid_00110_00029.mp4,1
vid_00110_00030.mp4,1
vid_00110_00031.mp4,1
vid_00110_00032.mp4,0
vid_00110_00033.mp4,1
vid_00110_00034.mp4,1
vid_00110_00035.mp4,1
vid_00111_00001.mov,0
vid_00111_00002.mov,0
vid_00111_00003.mov,0
vid_00111_00004.mov,1
vid_00111_00005.mov,1
vid_00111_00006.mov,0
vid_00111_00007.mov,0
vid_00111_00008.mov,0
vid_00111_00009.mov,0
vid_00111_00010.mov,1
vid_00111_00011.mov,1
vid_00111_00012.mov,0
vid_00111_00013.mov,0
vid_00111_00014.mov,0
vid_00111_00015.mov,0
vid_00111_00016.mov,1
vid_00111_00017.mov,1
vid_00111_00018.mov,0
vid_00111_00019.mov,0
vid_00111_00020.mov,0
vid_00111_00021.mov,1
vid_00111_00022.mov,1
vid_00111_00023.mov,1
vid_00111_00024.mov,0
vid_00111_00025.mov,0
vid_00111_00026.mov,0
vid_00111_00027.mov,1
vid_00111_00028.mov,1
vid_00111_00029.mov,1
vid_00111_00030.mov,0
vid_00111_00031.mov,0
vid_00111_00032.mov,0
vid_00111_00033.mov,1
vid_00111_00034.mov,1
vid_00111_00035.mov,1
vid_00111_00036.mov,0
vid_00111_00037.mov,0
vid_00111_00038.mov,1
vid_00111_00039.mov,1
vid_00111_00040.mov,1
vid_00111_00041.mov,0
vid_00111_00042.mov,0
vid_00111_00043.mov,0
vid_00111_00044.mov,0
vid_00112_00001.MOV,1
vid_00112_00002.MOV,1
vid_00112_00003.MOV,1
vid_00112_00004.MOV,1
vid_00112_00005.MOV,1
vid_00112_00006.MOV,1
vid_00112_00007.MOV,0
vid_00112_00008.MOV,1
vid_00113_00001.MOV,1
vid_00113_00002.MOV,1
vid_00113_00003.MOV,0
vid_00113_00004.MOV,1
vid_00113_00005.MOV,1
vid_00113_00006.MOV,0
vid_00113_00007.MOV,1
vid_00113_00008.MOV,1
vid_00113_00009.MOV,1
vid_00113_00010.MOV,1
vid_00114_00001.mp4,0
vid_00114_00002.mp4,1
vid_00114_00003.mp4,1
vid_00114_00004.mp4,1
vid_00114_00005.mp4,1
vid_00114_00006.mp4,0
vid_00114_00007.mp4,1
vid_00114_00008.mp4,1
vid_00114_00009.mp4,1
vid_00114_00010.mp4,0
vid_00114_00011.mp4,0
vid_00114_00012.mp4,0
vid_00114_00013.mp4,1
vid_00114_00014.mp4,1
vid_00114_00015.mp4,1
vid_00114_00016.mp4,1
vid_00114_00017.mp4,1
vid_00114_00018.mp4,0
vid_00114_00019.mp4,0
vid_00114_00020.mp4,1
vid_00115_00001.MOV,1
vid_00115_00002.MOV,1
vid_00115_00003.MOV,1
vid_00115_00004.MOV,1
vid_00115_00005.MOV,1
vid_00115_00006.MOV,1
vid_00117_00001.mp4,1
vid_00117_00002.mp4,1
vid_00117_00003.mp4,0
vid_00117_00004.mp4,0
vid_00117_00005.mp4,1
vid_00117_00006.mp4,1
vid_00117_00007.mp4,1
vid_00117_00008.mp4,0
vid_00117_00009.mp4,0
vid_00117_00010.mp4,0
vid_00117_00011.mp4,1
vid_00117_00012.mp4,1
vid_00117_00013.mp4,0
vid_00117_00014.mp4,0
vid_00117_00015.mp4,0
vid_00117_00016.mp4,1
vid_00117_00017.mp4,1
vid_00117_00018.mp4,0
vid_00117_00019.mp4,0
vid_00117_00020.mp4,1
vid_00117_00021.mp4,1
vid_00117_00022.mp4,1
vid_00117_00023.mp4,1
vid_00117_00024.mp4,1
vid_00117_00025.mp4,1
vid_00118_00001.mp4,1
